--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
    63   15.750  -111.84405690  2.855646e-01  1.621570e+00  7.473748e-04  1.624329e-03       782         0
    64   16.000  -111.84416526  2.857303e-01  1.621650e+00  7.088561e-04  1.586331e-03       793         0
    65   16.250  -111.84426687  2.858860e-01  1.621722e+00  6.734515e-04  1.550167e-03       804         0
    66   16.500  -111.84436232  2.860325e-01  1.621788e+00  6.408885e-04  1.515600e-03       815         0
    67   16.750  -111.84445212  2.861704e-01  1.621848e+00  6.109148e-04  1.482431e-03       826         0
    68   17.000  -111.84453677  2.863004e-01  1.621903e+00  5.832974e-04  1.450499e-03       837         0
    69   17.250  -111.84461667  2.864231e-01  1.621953e+00  5.578221e-04  1.419667e-03       848         0
    70   17.500  -111.84469222  2.865392e-01  1.621999e+00  5.342923e-04  1.389823e-03       859         0
    71   17.750  -111.84476377  2.866490e-01  1.622041e+00  5.125278e-04  1.360874e-03       870         0
    72   18.000  -111.84483163  2.867531e-01  1.622080e+00  4.923645e-04  1.332742e-03       881         0
    73   18.250  -111.84489609  2.868518e-01  1.622116e+00  4.736525e-04  1.305362e-03       892         0
    74   18.500  -111.84495742  2.869457e-01  1.622148e+00  4.562559e-04  1.278679e-03       903         0
    75   18.750  -111.84501584  2.870350e-01  1.622179e+00  4.400511e-04  1.252648e-03       914         0
    76   19.000  -111.84507157  2.871200e-01  1.622207e+00  4.249264e-04  1.227229e-03       925         0
    77   19.250  -111.84512480  2.872012e-01  1.622232e+00  4.107805e-04  1.202390e-03       936         0
    78   19.500  -111.84517571  2.872786e-01  1.622256e+00  3.975224e-04  1.178102e-03       947         0
    79   19.750  -111.84522447  2.873527e-01  1.622278e+00  3.850697e-04  1.154341e-03       958         0
    80   20.000  -111.84527122  2.874236e-01  1.622299e+00  3.733483e-04  1.131086e-03       969         0
    81   20.250  -111.84531609  2.874916e-01  1.622318e+00  3.622916e-04  1.108318e-03       980         0
    82   20.500  -111.84535921  2.875568e-01  1.622336e+00  3.518397e-04  1.086021e-03       991         0
    83   20.750  -111.84540068  2.876194e-01  1.622353e+00  3.419389e-04  1.064181e-03      1002         0
    84   21.000  -111.84544062  2.876796e-01  1.622369e+00  3.325409e-04  1.042784e-03      1013         0
    85   21.250  -111.84547911  2.877375e-01  1.622383e+00  3.236023e-04  1.021818e-03      1024         0
    86   21.500  -111.84551623  2.877933e-01  1.622397e+00  3.150844e-04  1.001272e-03      1035         0
    87   21.750  -111.84555208  2.878471e-01  1.622410e+00  3.069523e-04  9.811368e-04      1046         0
    88   22.000  -111.84558672  2.878990e-01  1.622422e+00  2.991747e-04  9.614026e-04      1057         0
    89   22.250  -111.84562022  2.879492e-01  1.622434e+00  2.917235e-04  9.420604e-04      1068         0
    90   22.500  -111.84565263  2.879977e-01  1.622445e+00  2.845736e-04  9.231019e-04      1079         0
    91   22.750  -111.84568403  2.880446e-01  1.622455e+00  2.777023e-04  9.045192e-04      1090         0
    92   23.000  -111.84571445  2.880900e-01  1.622465e+00  2.710893e-04  8.863047e-04      1101         0
